基金代码,基金名称,一级分类,二级分类,基金公司,基金规模(亿),风险等级,管理费(%),YTD(%),近1年(%),近3年(%),近5年(%),1年最大回撤(%),1年夏普比率,持有人数,总管理规模(亿),评级,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
000659,银华活钱宝货币C,货币型,货币型-普通货币,银华基金,0,低,0.15%（每年）,,0,,,,,,,,,,,,,,,
014113,上银未来生活灵活配置混合C,混合型,混合型-灵活,上银基金,0.36,中高,1.20%（每年）,-13.01,15.4,38.44,,-29.11,0.64,0,9.53亿(12只基金),orange,26.32,31.71,56.14,58.63,57.07,56.39,56.39,27.46
014120,金鹰时代先锋混合C,混合型,混合型-偏股,金鹰基金,0.95,中高,1.20%（每年）,34,70.67,34.64,,-16.95,2.1,0,145.81亿(19只基金),blue,56.05,69.54,55.5,53.39,50.97,49.25,49.25,23.17
017136,长盛中证同业存单AAA指数7天持有期,指数型,指数型-固收,长盛基金,27.49,中低,0.20%（每年）,0.47,1.02,4.37,,-0.03,-9.63,26,176.97亿(8只基金),orange,31.07,30.34,22.32,23.4,32.91,33.55,2.07,12.91
017142,华宝远见回报混合A,混合型,混合型-偏股,华宝基金,1.37,中高,1.20%（每年）,-19.33,23.57,1.12,,-22.09,0.99,1,21.80亿(5只基金),orange,23.97,34.69,46.11,52.02,52.83,52.83,0.0,15.68
017143,华宝远见回报混合C,混合型,混合型-偏股,华宝基金,1.37,中高,1.20%（每年）,-19.56,22.82,-0.81,,-22.3,0.96,0,21.80亿(5只基金),orange,23.95,34.23,45.81,51.74,52.55,52.55,0.0,15.61
017146,永赢恒欣稳健养老目标三年持有混合(FOF)A,FOF,FOF-稳健型,永赢基金,5.35,中,1.00%（每年）,4.87,14,20.77,,-4.08,1.82,5,18.95亿(10只基金),green,68.74,54.22,48.6,48.04,48.11,48.11,0.0,16.03
017151,华夏泰兴混合C,混合型,混合型-偏债,华夏基金,1.36,中,0.80%（每年）,0.61,2.79,8.1,,-1.2,0.42,0,18.18亿(13只基金),orange,39.39,43.9,33.33,37.38,44.48,43.21,43.21,17.47
017152,汇添富鑫悦纯债A,债券型,债券型-长债,汇添富基金,20.65,中低,0.30%（每年）,1.03,1.81,2.26,,-0.37,-0.6,20,87.94亿(11只基金),orange,41.35,43.23,29.11,29.39,38.95,37.54,1.56,14.19
017317,中欧预见养老2050五年持有(FOF)Y,FOF,FOF-进取型,中欧基金,8.39,中高,0.45%（每年）,-6.71,10.51,5.19,,-10.9,0.77,4,43.33亿(16只基金),orange,24.42,29.11,38.74,46.29,43.41,43.86,2.28,16.41
017283,民生加银康宁稳健养老目标一年持有混合(FOF)Y,FOF,FOF-稳健型,民生加银基金,5.59,中,0.30%（每年）,1.71,7,14.89,,-2.69,1.29,0,37.38亿(8只基金),blue,63.64,62.31,56.13,52.62,50.29,48.59,48.59,19.61
017288,中欧瑾和灵活配置混合E,混合型,混合型-灵活,中欧基金,10.9,中高,1.20%（每年）,42.55,129.58,111.19,,-19.83,2.25,0,45.87亿(11只基金),blue,50.29,40.72,60.86,62.82,58.93,56.23,56.23,22.02
